company_number,company_name,stratum,vat_number,status,reason,name_score,company_number_on_site,domain
11640735,JUELO CONSULT LIMITED,all,,NOT_FOUND,no candidate extracted,,,
13946160,JURALI LIMITED,all,,NOT_FOUND,no candidate extracted,,,
15644358,KARAN FOODS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
08187951,KASIAS KARPETS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
07970742,KCT SUPPLIES LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
11800762,KDV GROWTH LTD,all,,NOT_FOUND,no candidate extracted,,,
16816180,KELVIN VENTURES LIMITED,all,,NOT_FOUND,no candidate extracted,,,
09167444,KETHER CONSULTING UK LTD,trading,,NOT_FOUND,no candidate extracted,,,
16427529,KOCHI 2 MUMBAI LTD,all,,NOT_FOUND,no candidate extracted,,,
09872349,KUUNGANA ADVISORY LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
10384646,LADYBIRD CAR SALES LTD,all,,NOT_FOUND,no candidate extracted,,,
SC806295,LAKSHMI ASSOCIATES LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
09320210,LANKASTER LTD,trading,,NOT_FOUND,no candidate extracted,,,
07674410,LEARNING ENABLERS LIMITED,all,,NOT_FOUND,no candidate extracted,,,
14661835,LILY ROSE FABRICATIONS LIMITED,all,,NOT_FOUND,no candidate extracted,,,
15056125,LOTUS HOMES INVESTMENTS LTD,trading,,NOT_FOUND,no candidate extracted,,,
07938253,M & L CAMBRIDGE LIMITED,all,,NOT_FOUND,no candidate extracted,,,
15565603,M & M PROPERTY (NOTTM) LTD,trading,,NOT_FOUND,no candidate extracted,,,
10102157,MAGNIFY & GROW BUSINESS CONSULTING LTD,trading,,NOT_FOUND,no candidate extracted,,,
03998466,MARLORE DEMOLITION LIMITED,all,,NOT_FOUND,no candidate extracted,,,
17356638,MASS APPEAL CLOTHING LTD,all,,NOT_FOUND,no candidate extracted,,,
16947432,MAX3DPRINTS LIMITED,all,,NOT_FOUND,no candidate extracted,,,
01051256,MEGAPLANT LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
SC774929,MEL'S MUNCH LTD,trading,,NOT_FOUND,no candidate extracted,,,
10601081,MELLOR & MOTTRAM LIMITED,all,,NOT_FOUND,no candidate extracted,,,
09259956,MICHAEL PEARCE PROJECT SERVICES LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
14088734,MILNES BROS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
10798573,MINDFUL BUSINESS CONSULTING LTD,all,,NOT_FOUND,no candidate extracted,,,
15076408,MMJ ACCOUNTANTS LIMITED,all,,NOT_FOUND,no candidate extracted,,,
15921434,MODERN BUTLER LTD,trading,,NOT_FOUND,no candidate extracted,,,
NI035510,MONEYNEENA & DISTRICT DEVELOPMENT INITIATIVE LTD,all,,NOT_FOUND,no candidate extracted,,,
11711149,MONTASH DEVELOPMENTS LIMITED,all,,NOT_FOUND,no candidate extracted,,,
04584851,MYLOR CHANDLERY LTD,all,,NOT_FOUND,no candidate extracted,,,
10189225,NAR VALLEY (BLOCK K) MANAGEMENT COMPANY LTD,all,,NOT_FOUND,no candidate extracted,,,
SC819438,NICOSSE CONSULTING LTD,trading,,NOT_FOUND,no candidate extracted,,,
13943934,NORTHERN RENEWABLE CENTRE LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
11649939,NOVA HOUSING SERVICES LTD,trading,,NOT_FOUND,no candidate extracted,,,
09050822,OGGI SCAFFOLDING LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
14913696,OLIBELLE GROUP LIMITED,all,,NOT_FOUND,no candidate extracted,,,
07310566,OLLANDS INVESTMENTS LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
11135449,OM RETAIL UK LIMITED,all,,NOT_FOUND,no candidate extracted,,,
15933835,ONE LOVE SOCIAL CLUB C.I.C.,all,,NOT_FOUND,no candidate extracted,,,
11116615,PAPA CHARLIE PROPERTIES LIMITED,all,,NOT_FOUND,no candidate extracted,,,
15681226,PBW ROOFING LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
FC028766,PERSIMMON FINANCE (JERSEY) LIMITED,trading,,NOT_FOUND,no candidate extracted,,,
